Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,AVT,United Kingdom,,No,https://github.com/AventusSystems,,$3.2600,https://aventus.io,Ethereum,,$0.22,-93.19%,United States,"$20,200,000",,aventus,https://icowatchlist.com/ico/aventus
,DSR,Unknown,,No,,,$0.0000,https://www.daseron.com/,Ethereum,,$0.13,,United States,,,daseron,https://icowatchlist.com/ico/daseron
,CSNO,Unknown,,No,,,$0.1505,https://www.bitdice.me/,Ethereum,,$0.03,,United States,,,bitdice,https://icowatchlist.com/ico/bitdice
,ICOS,Unknown,,No,,,$32.0000,https://icobox.io/,Ethereum,,$1.02,-96.81%,United States,"$14,370,000",,icobox,https://icowatchlist.com/ico/icobox
,KICK,Russian Federation,,No,https://github.com/kickico,,$0.0650,https://www.kickico.com,Ethereum,,$0.00,-94.80%,United States,"$22,340,000",,kickico,https://icowatchlist.com/ico/kickico
,UMC,Unknown,,No,,,$0.0065,https://www.umbrellacoin.org/,Ethereum,,$0.00,-87.41%,United States,"$447,480",,umbrellacoin,https://icowatchlist.com/ico/umbrellacoin
,KNC,Singapore,,No,https://github.com/kyberNetwork/,,$0.0000,https://kyber.network/,Ethereum,,$0.26,,United States,"$48,000,000",,kybernetwork,https://icowatchlist.com/ico/kybernetwork
,ARI,Unknown,,No,,,$0.0000,https://www.becksang.com/,Not Available,,,,United States,,,becksang,https://icowatchlist.com/ico/becksang
,DTCT,Poland,,No,,,$0.4300,https://detectortoken.com,Ethereum,,,,United States,,,detectortoken,https://icowatchlist.com/ico/detectortoken
,KIN,Unknown,,No,,,$0.0001,https://kin.kik.com/,Ethereum,,$0.00,-58.39%,United States,"$98,000,000",,kin,https://icowatchlist.com/ico/kin
,RCC,Unknown,,No,,,$0.0000,http://reality-clash.com/,Ethereum,,$0.07,,United States,,,realityclash,https://icowatchlist.com/ico/realityclash
,JNT,Russian Federation,,No,,,$0.4500,http://jnet1.co/en,Waves,,$0.00,,United States,,,jnet1,https://icowatchlist.com/ico/jnet1
,LTD,Singapore,,No,https://github.com/Litrafoundation,,$1.0000,http:/www.litra.site,Litecoin Fork,,"$236,016.00",,United States,,,litra,https://icowatchlist.com/ico/litra
,AXION,Singapore,,No,,,$0.3000,http://www.AxionV.com,Ethereum,,,,United States,,,axionv,https://icowatchlist.com/ico/axionv
,MPX,Canada,,No,,,$0.0000,https://ico.moneypot.com,Waves,,,,United States,,,moneypotx,https://icowatchlist.com/ico/moneypotx
,PROFF,Russian Federation,,No,,,$0.0080,https://prover.io/,Ethereum,,,,United States,,,prover,https://icowatchlist.com/ico/prover
,PST,Ireland,,No,,,$0.3000,httsp://planescloud.io,Ethereum,,$0.36,,United States,,,planescloud,https://icowatchlist.com/ico/planescloud
,LUST,Germany,,No,,,$0.1000,https://lust.agency/,Ethereum,,,,United States,,,lustagency,https://icowatchlist.com/ico/lustagency
,POWR,Australia,,No,,,$0.0880,https://powerledger.io,Ethereum,,$0.12,35.41%,United States,"$24,000,000",,powerledger,https://icowatchlist.com/ico/powerledger
"BTC, ETH",DRT,France,,No,https://github.com/Domraider/dr-token,,$0.1200,https://www.domraider.io/,Ethereum,,$0.00,-98.32%,United States,"$65,890,000","45,000,000",domraider,https://icowatchlist.com/ico/domraider
,STU,Israel,,No,,,$0.0200,https://bitjob.io/,Ethereum,,$0.00,-90.13%,United States,"$2,170,000","200,000,000",bitjob,https://icowatchlist.com/ico/bitjob
,EVC,Canada,,No,https://github.com/eventchain,,$0.8700,https://eventchain.io/,Ethereum,,$0.01,-98.29%,United States,"$16,380,000",,eventchain,https://icowatchlist.com/ico/eventchain
,HDG,Slovenia,,No,,,$0.3000,https://www.hedge-crypto.com/,Ethereum,,$0.19,-36.33%,United States,"$896,240",,hedgetoken,https://icowatchlist.com/ico/hedgetoken
,PRG,United States,,No,,,$1.0000,https://paragoncoin.com/,Ethereum,,$0.14,-86.16%,United States,"$183,000,000",,paragoncoin,https://icowatchlist.com/ico/paragoncoin
,DLT,New Zealand,,No,,,$0.0030,http://dlsacademy.io/,Ethereum,,$0.11,,United States,,,dlsacademy,https://icowatchlist.com/ico/dlsacademy
,EBET,Isle of Man,,No,https://github.com/Ethbet/ethbet,,$0.2000,https://ethbet.io/,Ethereum,,$0.00,,United States,,,ethbet,https://icowatchlist.com/ico/ethbet
,EDO,Switzerland,,No,,,$2.3000,https://www.eidoo.io,Ethereum,,$0.69,-70.03%,United States,"$24,660,000",,eidoo,https://icowatchlist.com/ico/eidoo
,DIGI,United Kingdom,,No,,,$0.5000,https://www.digitoken.tech/,Ethereum,,,,United States,,,digi,https://icowatchlist.com/ico/digi
,AIR,United States,,No,,,$0.0200,https://www.airtoken.com/,Ethereum,,$0.00,-91.61%,United States,"$15,000,000",,airtoken,https://icowatchlist.com/ico/airtoken
ETH,LINK,United States,"$32,000,000",No,,,$0.1100,https://www.smartcontract.com/link,Ethereum,,,,United States,,"1,000,000,000",chainlink,https://icowatchlist.com/ico/chainlink
,WIL,Russian Federation,,No,https://github.com/Lastwill-project,,$0.2000,http://www.mywillplatform.io,Ethereum,,,,United States,,,mywillplatform,https://icowatchlist.com/ico/mywillplatform
,FYP,United Kingdom,,No,,,$0.0700,https://flyp.me,Ethereum,,$0.02,,United States,,,flypme,https://icowatchlist.com/ico/flypme
ETH,COB,Taiwan,"$25,000,000",No,https://github.com/cobinhood/api-public,,$0.0516,https://cobinhood.com/home,Ethereum,,$0.01,-80.91%,"United States, Canada, China","$13,078,406","1,000,000,000",cobinhood,https://icowatchlist.com/ico/cobinhood
,SSIO,Netherlands,,No,,,$1.7000,https://sexservice.io?ref=7GAY2VK,Blockchain,,,,United States,,,sexservice,https://icowatchlist.com/ico/sexservice
,BKT,United Kingdom,,No,https://github.com/bookira?tab=repositories,,$0.2000,https://www.bookira.io/,Ethereum,,$0.00,,United States,,,bookira,https://icowatchlist.com/ico/bookira
,VEE,United States,,No,https://github.com/BLOCKvIO/documentation,,$0.0200,http://t.blockv.io/icowatchlist,Ethereum,,$0.00,-76.83%,United States,"$21,500,000",,blockv,https://icowatchlist.com/ico/blockv
,CHX,United States,,No,,,$0.0100,http://thechex.com/,Ethereum,,,,United States,,,chex,https://icowatchlist.com/ico/chex
,KeY,Japan,,No,,,$0.0060,http://ico.keytoken-ew.com/en/,Ethereum,,,,United States,,,keytoken,https://icowatchlist.com/ico/keytoken
,ASTRO,Switzerland,,No,,,$1.0000,http://www.astronaut.capital,Ethereum,,$0.30,,United States,,,astronaut,https://icowatchlist.com/ico/astronaut
