Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,branches,commits,forks,name,stars,url,watchers
"ETH, BTC, BCH, LTC, ETC, DASH",MTV,Belarus,,Yes,,,$1.0000,https://www.multiversum.io,Other,March 1st 2018 To March 31st 2018,,,United States,,"141,000,000",0,0,0,multiversum,0,https://icowatchlist.com/ico/multiversum,0
"ETH, BTC, LTC",GIF,Bulgaria,,No,,Yes,$0.0900,https://www.gifcoin.io/?utm_source=icowatchlist,Ethereum,February 22nd 2018 To March 15th 2018,,,United States,,"300,000,000",0,0,0,gifcoin,0,https://icowatchlist.com/ico/gifcoin,0
"BTC, ETH, LTC, ZEC",CRD,Hungary,,No,https://github.com/crydeio,,$0.1730,https://cryde.io,Ethereum,April 23rd 2018 To May 7th 2018,,,United States,,"100,000,000",9,832,633,cryde,0,https://icowatchlist.com/ico/cryde,0
"ETH, BTC, USD",CRS,Ukraine,,No,https://github.com/crystalslove/Crystals-Love,Yes,$0.1000,https://www.crystals.io/,Ethereum,,,,United States,,"247,000,000",1,7,1,crystals,5,https://icowatchlist.com/ico/crystals,4
ETH,ANK,Poland,,No,https://github.com/airchainnetwork/,Yes,$0.0069,https://airchain.network/,Ethereum,April 23rd 2018 To May 1st 2018,,,United States,,"1,000,000,000",0,0,0,airchain-network,0,https://icowatchlist.com/ico/airchain-network,0
ETH,FLIX,Barbados,,No,,Yes,$0.4000,https://cryptoflix.io/,Ethereum,,,,United States,,"100,000,000",0,0,0,cryptoflix,0,https://icowatchlist.com/ico/cryptoflix,0
ETH,BINK,United States,,Yes,https://github.com/binkd,Yes,$0.1000,https://www.binkd.com/,Ethereum,March 15th 2018 To March 15th 2018,,,United States,,"625,000,000",7,141,161,binkd,1,https://icowatchlist.com/ico/binkd,3
ETH,BHM,France,,No,,,$0.0500,https://bhom.io/,Ethereum,,,,United States,,"110,000,000",0,0,0,bhom,0,https://icowatchlist.com/ico/bhom,0
,BRM,Belarus,,No,https://github.com/Bioritmai,,$1.8000,https://bioritmai.com/en/,Ethereum,,$0.01,,United States,,,0,0,0,bioritmai,0,https://icowatchlist.com/ico/bioritmai,0
ETH,BFDT,Singapore,,No,,,$0.0700,https://www.befund.io,Ethereum,,,,"United States, China",,"500,000,000",0,0,0,befund,0,https://icowatchlist.com/ico/befund,0
"BTC, ETH, USD, EUR",QYK,Singapore,,No,,Yes,$0.0100,https://qykbar.io/,Ethereum,March 31st 2018 To April 22nd 2018,,,United States,,"6,000,000,000",0,0,0,qykbar,0,https://icowatchlist.com/ico/qykbar,0
"BTC, ETH, EUR, USD",TECT,Switzerland,,No,https://github.com/cryptectum,Yes,$1.0000,https://www.cryptectum.com,Ethereum,,,,United States,,"80,000,000",0,0,0,cryptectum,0,https://icowatchlist.com/ico/cryptectum,0
ETH,DACC,China,,No,https://github.com/DecentralizedAccessibleContentChain/dac-ios,Yes,$0.0028,http://dacc.co/,Ethereum,,,,United States,,"30,000,000,000",0,0,0,decentralized-audio-content,0,https://icowatchlist.com/ico/decentralized-audio-content,0
"ETH, BTC",ETD,Australia,,No,,Yes,$0.1200,http://earthmedz.io,Ethereum,,,,United States,,"200,000,000",0,0,0,earthmedz,0,https://icowatchlist.com/ico/earthmedz,0
"BTC, ETH",SOOM,Singapore,,No,https://github.com/soom-4th-blockchain/soom-core,,$0.0000,http://fourthblockchain.org/,Other,,,,United States,,"1,438,000,000",6,20,2,soom-blockchain,0,https://icowatchlist.com/ico/soom-blockchain,1
,DEED,United States,,Yes,https://github.com/TeamDeedCoin/DeedCoin,Yes,$1.5000,https://deedcoinlaunch.com,Ethereum,February 19th 2018 To March 19th 2018,,,United States,,"30,000,000",1,32,3,deedcoin,2,https://icowatchlist.com/ico/deedcoin,2
ETH,OAK,United Kingdom,,No,https://github.com/TheAcornCollective,,$1.4000,https://www.aco.ai/,Ethereum,,,,"United States, China","$26,150,000","25,000,000",0,0,0,acorn-collective,0,https://icowatchlist.com/ico/acorn-collective,0
ETH,WEE,Bulgaria,,No,https://github.com/weevocity/ICO,Yes,$0.0700,http://ico.weevo.city/,Ethereum,March 26th 2018 To April 25th 2018,,,United States,,"1,100,000,000",1,4,1,weevocity,1,https://icowatchlist.com/ico/weevocity,0
"BTC, ETH, LTC, USD, EUR",CMA,Australia,,No,,Yes,$0.2000,https://coinmineaustralia.com,Ethereum,March 19th 2018 To April 16th 2018,,,United States,,"150,000,000",0,0,0,coin-mine-australia,0,https://icowatchlist.com/ico/coin-mine-australia,0
ETH,SAVG,United States,,No,https://github.com/savagetoken/SavageToken,,$0.0012,https://www.savagetoken.com,Ethereum,,,,United States,,"40,000,000,000",1,2,0,savage-token,1,https://icowatchlist.com/ico/savage-token,1
ETH,ICST,Singapore,,No,https://github.com/icstglobal,,$0.0500,http://icst.io/,Ethereum,,,,United States,"$2,480,000","900,000,000",0,0,0,icst,0,https://icowatchlist.com/ico/icst,0
ETH,PTH,Seychelles,,No,,Yes,$0.1000,http://prether.co/,Ethereum,,,,United States,,"100,000,000",0,0,0,prether,0,https://icowatchlist.com/ico/prether,0
,ADM,Ireland,,No,https://github.com/adamant-im,Yes,$0.2400,https://adamant.im/,Other,,,,United States,,"98,000,000",194,9214,51,adamant-messenger,76,https://icowatchlist.com/ico/adamant-messenger,31
,WELL,United States,,No,https://github.com/joinwell,,$0.1000,https://www.joinwell.io,Ethereum,,$0.00,-96.70%,United States,"$15,960,000",,2,6,1,well,3,https://icowatchlist.com/ico/well,1
"BTC, ETH",TRW,Norway,,No,https://github.com/triwer/triwer-solidity,Yes,$0.0800,https://www.triwer.io,Ethereum,,,,United States,,"1,000,000,000",1,2,0,triwer,0,https://icowatchlist.com/ico/triwer,3
"ETH, BTC, LTC, DASH, EUR, USD, XRP",EQUI,United Kingdom,,No,,,$0.5000,https://equi.capital,Ethereum,March 1st 2018 To March 15th 2018,,,United States,,"250,000,000",0,0,0,equi,0,https://icowatchlist.com/ico/equi,0
ETH,LTS,Chile,,No,https://github.com/lotuscore,,$0.0130,https://lotuscore.io/,Ethereum,March 21st 2018 To April 21st 2018,,,United States,,"1,000,000,000",2,101,0,lotus-core,4,https://icowatchlist.com/ico/lotus-core,4
