Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,KICK,Russian Federation,,No,,$0.0650,Ethereum,,$0.00,-94.80%,United States,"$22,340,000",,kickico,https://icowatchlist.com/ico/kickico
,UMC,Unknown,,No,,$0.0065,Ethereum,,$0.00,-87.41%,United States,"$447,480",,umbrellacoin,https://icowatchlist.com/ico/umbrellacoin
,KNC,Singapore,,No,,$0.0000,Ethereum,,$0.26,,United States,"$48,000,000",,kybernetwork,https://icowatchlist.com/ico/kybernetwork
,ARI,Unknown,,No,,$0.0000,Not Available,,,,United States,,,becksang,https://icowatchlist.com/ico/becksang
,DTCT,Poland,,No,,$0.4300,Ethereum,,,,United States,,,detectortoken,https://icowatchlist.com/ico/detectortoken
,KIN,Unknown,,No,,$0.0001,Ethereum,,$0.00,-58.39%,United States,"$98,000,000",,kin,https://icowatchlist.com/ico/kin
,RCC,Unknown,,No,,$0.0000,Ethereum,,$0.07,,United States,,,realityclash,https://icowatchlist.com/ico/realityclash
,JNT,Russian Federation,,No,,$0.4500,Waves,,$0.00,,United States,,,jnet1,https://icowatchlist.com/ico/jnet1
,LTD,Singapore,,No,,$1.0000,Litecoin Fork,,"$236,016.00",,United States,,,litra,https://icowatchlist.com/ico/litra
,AXION,Singapore,,No,,$0.3000,Ethereum,,,,United States,,,axionv,https://icowatchlist.com/ico/axionv
,MPX,Canada,,No,,$0.0000,Waves,,,,United States,,,moneypotx,https://icowatchlist.com/ico/moneypotx
,PROFF,Russian Federation,,No,,$0.0080,Ethereum,,,,United States,,,prover,https://icowatchlist.com/ico/prover
,PST,Ireland,,No,,$0.3000,Ethereum,,$0.36,,United States,,,planescloud,https://icowatchlist.com/ico/planescloud
,LUST,Germany,,No,,$0.1000,Ethereum,,,,United States,,,lustagency,https://icowatchlist.com/ico/lustagency
,POWR,Australia,,No,,$0.0880,Ethereum,,$0.12,35.41%,United States,"$24,000,000",,powerledger,https://icowatchlist.com/ico/powerledger
"BTC, ETH",DRT,France,,No,,$0.1200,Ethereum,,$0.00,-98.32%,United States,"$65,890,000","45,000,000",domraider,https://icowatchlist.com/ico/domraider
,STU,Israel,,No,,$0.0200,Ethereum,,$0.00,-90.13%,United States,"$2,170,000","200,000,000",bitjob,https://icowatchlist.com/ico/bitjob
,EVC,Canada,,No,,$0.8700,Ethereum,,$0.01,-98.29%,United States,"$16,380,000",,eventchain,https://icowatchlist.com/ico/eventchain
,HDG,Slovenia,,No,,$0.3000,Ethereum,,$0.19,-36.33%,United States,"$896,240",,hedgetoken,https://icowatchlist.com/ico/hedgetoken
,PRG,United States,,No,,$1.0000,Ethereum,,$0.14,-86.16%,United States,"$183,000,000",,paragoncoin,https://icowatchlist.com/ico/paragoncoin
,DLT,New Zealand,,No,,$0.0030,Ethereum,,$0.11,,United States,,,dlsacademy,https://icowatchlist.com/ico/dlsacademy
,EBET,Isle of Man,,No,,$0.2000,Ethereum,,$0.00,,United States,,,ethbet,https://icowatchlist.com/ico/ethbet
,EDO,Switzerland,,No,,$2.3000,Ethereum,,$0.69,-70.03%,United States,"$24,660,000",,eidoo,https://icowatchlist.com/ico/eidoo
,DIGI,United Kingdom,,No,,$0.5000,Ethereum,,,,United States,,,digi,https://icowatchlist.com/ico/digi
,AIR,United States,,No,,$0.0200,Ethereum,,$0.00,-91.61%,United States,"$15,000,000",,airtoken,https://icowatchlist.com/ico/airtoken
ETH,LINK,United States,"$32,000,000",No,,$0.1100,Ethereum,,,,United States,,"1,000,000,000",chainlink,https://icowatchlist.com/ico/chainlink
,WIL,Russian Federation,,No,,$0.2000,Ethereum,,,,United States,,,mywillplatform,https://icowatchlist.com/ico/mywillplatform
,FYP,United Kingdom,,No,,$0.0700,Ethereum,,$0.02,,United States,,,flypme,https://icowatchlist.com/ico/flypme
ETH,COB,Taiwan,"$25,000,000",No,,$0.0516,Ethereum,,$0.01,-80.91%,"United States, Canada, China","$13,078,406","1,000,000,000",cobinhood,https://icowatchlist.com/ico/cobinhood
,SSIO,Netherlands,,No,,$1.7000,Blockchain,,,,United States,,,sexservice,https://icowatchlist.com/ico/sexservice
,BKT,United Kingdom,,No,,$0.2000,Ethereum,,$0.00,,United States,,,bookira,https://icowatchlist.com/ico/bookira
,VEE,United States,,No,,$0.0200,Ethereum,,$0.00,-76.83%,United States,"$21,500,000",,blockv,https://icowatchlist.com/ico/blockv
,CHX,United States,,No,,$0.0100,Ethereum,,,,United States,,,chex,https://icowatchlist.com/ico/chex
,KeY,Japan,,No,,$0.0060,Ethereum,,,,United States,,,keytoken,https://icowatchlist.com/ico/keytoken
,ASTRO,Switzerland,,No,,$1.0000,Ethereum,,$0.30,,United States,,,astronaut,https://icowatchlist.com/ico/astronaut
,POLL,Australia,,No,,$0.1500,Hyperledger,,$0.12,,United States,,,clearpoll,https://icowatchlist.com/ico/clearpoll
,SCT,Finland,,No,,$0.6700,Ethereum,,$0.00,,United States,,,soma,https://icowatchlist.com/ico/soma
,SWM,Germany,,No,,$1.0000,Ethereum,,$0.07,,United States,,,swarmfund,https://icowatchlist.com/ico/swarmfund
,LPG,United Kingdom,,No,,$1.0000,Ethereum,,,,United States,,,langpie,https://icowatchlist.com/ico/langpie
,LAB,United States,,No,,$0.0800,Blockchain,,$0.01,,United States,,,tokenlab,https://icowatchlist.com/ico/tokenlab
,,,,,,,,,,,,,,granthero,https://icowatchlist.com/ico/granthero
,CPAY,United Kingdom,,No,,$0.2900,Ethereum,,$0.02,-93.16%,United States,"$18,000,000",,cryptopay,https://icowatchlist.com/ico/cryptopay
,ARN,Russian Federation,,No,,$0.5000,Ethereum,,$0.46,,United States,,,aeron,https://icowatchlist.com/ico/aeron
,ARX,Australia,,No,,$0.0375,Ethereum,,,,United States,,,assistivereality,https://icowatchlist.com/ico/assistivereality
,BCOIN,United States,,No,,$3.0000,Ethereum,,$0.33,,United States,,,bannercoin,https://icowatchlist.com/ico/bannercoin
,ATL,Russian Federation,,No,,$0.5900,Ethereum,,$0.02,-96.58%,United States,"$6,500,000",,atlant,https://icowatchlist.com/ico/atlant
,ALDO,United Kingdom,,No,,$0.9700,Blockchain,,,,United States,,,aldoin,https://icowatchlist.com/ico/aldoin
,DCN,Netherlands,,No,,$0.0000,Ethereum,,$0.00,,United States,,,dentacoin,https://icowatchlist.com/ico/dentacoin
,ENO,Panama,,No,,$1.6700,Ethereum,,$0.03,,United States,,,ethino,https://icowatchlist.com/ico/ethino
,RCN,Cayman Islands,,No,,$0.0750,Ethereum,,$0.03,,United States,,,ripiocreditnetwork,https://icowatchlist.com/ico/ripiocreditnetwork
,TKT,Russian Federation,,No,,$0.0400,Ethereum,,,,United States,,,cryptotickets,https://icowatchlist.com/ico/cryptotickets
,UTK,Switzerland,,No,,$0.0650,Ethereum,,$0.03,-60.14%,United States,"$21,000,000",,utrust,https://icowatchlist.com/ico/utrust
,STAR,Singapore,,No,,$0.0000,Ethereum,,$0.03,,United States,,,starbase,https://icowatchlist.com/ico/starbase
,QVT,Unknown,,No,,$0.0041,Ethereum,,$0.01,69.98%,United States,"$715,000","218,750,000",qvolta,https://icowatchlist.com/ico/qvolta
,ALTC,Unknown,,No,,$0.0000,Waves,,$0.00,,United States,,,altocar,https://icowatchlist.com/ico/altocar
,HIVE,Unknown,,No,,$0.6000,Ethereum,,,,United States,,,cryptohive,https://icowatchlist.com/ico/cryptohive
,PBC,United States,,No,,$0.0700,Blockchain,,$0.00,,United States,,,blockstack,https://icowatchlist.com/ico/blockstack
,GVT,Ireland,,No,,$1.0000,Ethereum,,$4.18,,United States,,,genesisvision,https://icowatchlist.com/ico/genesisvision
